find	replace	notes
Harmon Town|Harman Town|Harman-town|Harmentown|Harbin Town|Harmet Town|Harmanstown|Hermit Town|Hormontown|Hermitown	Harmontown	
Dan Herman|Dan Harbin	Dan Harmon	
Harman	Harmon	
kettle one|Kettle One	Ketel One	
Spencer Crifden|Spencer Drayton	Spencer Crittenden	
Aaron McGathey	Erin McGathy	
Bob Count	Bobcat	
Bobcat Goldwain	Bobcat Goldthwait	
Camille	Kumail	
Nagiani|Natiani	Nanjiani	
Butzalot	Buttsalot	
Krista Berg	Chris de Burgh	
Mulrain	Mulraine	
nerd melt	Nerdmelt	
Nerd and Melt	Nerdmelt	
Meltdown Conference|meltdown comics	Meltdown Comics	
meltdown	Meltdown	
Rob Schwab	Rob Schrab	
Harmonians	Harmenians	
comp trolling	comptrolling	
9 11|9-11	9/11	
Shell Superstein	Shel Superstein	
Cheepy Peepy	Cheapy Peepy	
Skud	Scud	
drawing room	Drawing Room	
eye Harmon|eye harmon|eye, Harmon	iHarmon	
Danny Pooty	Danny Pudi	
Dimorge	DeMorge	
